%
%
% ent dat.name dat.joined dat.species dat.coloring dat.gender dat.birthday dat.age dat.hometown dat.favorite_toy dat.favorite_activity dat.favorite_food
"50" "Daisy" "July 24, 2005" "Hamster (Syrian)" "Blonde" "Female" "June 1, 2005" "Gone to Hamster Heaven" "Swansea, MA&nbsp; United States" "Her wheel" "Her wheel" "Not sure yet!"
"51" "cookie" "February 5, 2006" "Hamster (Unknown)" "Brown" "Female" "November 28, 2005" "Gone to Hamster Heaven" "Saint John, NB&nbsp; Canada" "bars" "bars" "seeds"
"52" "minime Cookie" "February 1, 2006" "Hamster (Chinese)" "Brown" "Female" "July 28, 2005" "Gone to Hamster Heaven" "Saint John, NB&nbsp; Canada" "Her  weel" "Her  weel" "seeds"
"53" "Ms.Rex" "November 22, 2005" "Hamster (Siberian)" "Cinnamon" "Female" "November 1, 2003" "Gone to Hamster Heaven" "Madison, WI&nbsp; United States" "wheel" "wheel" "Hamster food"
"54" "Fluffilupigus" "July 11, 2006" "Hamster (Unknown)" "Grey" "Male" "February 20, 2005" "Gone to Hamster Heaven" "New Orleans, LA&nbsp; United States" "pen caps/erasers" "pen caps/erasers" "cherrios"
"55" "Saint Jimmy" "August 1, 2007" "Hamster (Syrian)" "Grey" "Male" "February 1, 2006" "Gone to Hamster Heaven" "Birmingham,  United Kingdom" "wood chews" "wood chews" "cheese !"
"56" "James (RIP)" "June 14, 2005" "Hamster (Syrian)" "Cinnamon" "Male" "April 17, 2005" "Gone to Hamster Heaven" "Lommel,  Belgium" "Hamster-wheel" "Hamster-wheel" "Prestige hamsterfood, cucumber, banana, appel"
"57" "Muis (RIP)" "June 14, 2005" "Hamster (Teddy Bear)" "Cream" "Male" "August 24, 2001" "Gone to Hamster Heaven" "Lommel,  Belgium" "Hamster ball and wheel" "Hamster ball and wheel" "Sunflower seeds"
"58" "Lili (RIP)" "October 13, 2006" "Hamster (Syrian)" "Golden Banded" "Female" "September 9, 2005" "Gone to Hamster Heaven" "Lommel,  Belgium" "Hamster ball" "Hamster ball" "Prestige hamsterfood, peanuts, carrot, appel, banana, paprika, endive, cucumber"
"59" "Peanut" "November 5, 2006" "Hamster (Teddy Bear)" "Golden" "Female" "February 14, 2004" "Gone to Hamster Heaven" "Mason City, IA&nbsp; United States" "exercise wheel" "exercise wheel" "sunflower seeds"
"60" "Hamtaro" "November 18, 2006" "Hamster (Syrian)" "Golden Banded" "Female" "January 1, 2005" "Gone to Hamster Heaven" "ST.Petersburg, FL&nbsp; United States" "Nothing." "Nothing." "Sunflower seeds."
"61" "Echo" "July 14, 2007" "Hamster (Teddy Bear)" "Black" "Male" "March 10, 2006" "Gone to Hamster Heaven" "Sebastain, FL&nbsp; United States" "Wheel" "Wheel" "Apples"
"62" "Checkers" "July 14, 2007" "Hamster (Teddy Bear)" "Calico" "Female" "March 11, 2006" "Gone to Hamster Heaven" "Sebastain, FL&nbsp; United States" "Wheel" "Wheel" "Apples"
"63" "Ofeilia" "March 31, 2008" "Hamster (Syrian)" "Yellow" "Male" "November 23, 2007" "51 months" "Manhatten NewYorkCity, NY&nbsp; United States" "Cheerios" "Cheerios" "HoneyNut Cheerios,HamsterFood"
"64" "Penelope" "March 31, 2008" "Hamster (Teddy Bear)" "Golden Banded" "Female" "January 18, 2008" "49 months" "Manhatten NewYorkCity, NY&nbsp; United States" "Wheel, Chew Sticks,Carrots" "Wheel, Chew Sticks,Carrots" "HoneyNut Cheerios,HamsterFood"
"65" "Oscar" "March 31, 2008" "Hamster (Teddy Bear)" "Blonde" "Female" "November 20, 2007" "51 months" "Manhatten NewYorkCity, NY&nbsp; United States" "Nutriphase mineral sticks, honey burritos" "Nutriphase mineral sticks, honey burritos" "HoneyNut Cheerios,HamsterFood"
"66" "JoJo Hamster" "February 11, 2009" "Hamster (Syrian)" "Golden Banded" "Male" "January 1, 2007" "61 months" "Brooklyn, NY&nbsp; United States" "Anything chewable" "Anything chewable" "Dried fruit"
"67" "lily" "September 12, 2008" "Hamster (Chinese)" "Brown" "Female" "June 18, 2008" "44 months" "Loreauville, LA&nbsp; United States" "stick" "stick" "treats"
"68" "Moe" "April 10, 2004" "Hamster (Syrian)" "Silver" "Male" "January 15, 2004" "Gone to Hamster Heaven" "Aracaju,  Brazil" "Aracaju,  Brazil" "Aracaju,  Brazil" "Potato and peanuts"
"69" "enzo" "March 11, 2005" "Hamster (Teddy Bear)" "Beige" "Male" "July 2, 2004" "Gone to Hamster Heaven" ",  United States" "his special patrol unit" "his special patrol unit" "granola bars, tomatoes, bananas, weetabix, yoghurt chips, baby carrots, grapes"
"70" "Mr. Cheeks" "May 30, 2004" "Hamster (Teddy Bear)" "Yellow" "Male" "March 7, 2003" "Gone to Hamster Heaven" "Boston, MA&nbsp; United States" "wheel" "wheel" "sunflower seeds"
"71" "Mabo" "May 6, 2004" "Hamster (Syrian)" "Silver" "Male" "May 1, 2002" "Gone to Hamster Heaven" "Singapore,  Singapore" "Running wheel" "Running wheel" "Small bits of ham"
"72" "Zoe" "May 10, 2004" "Hamster (Siberian)" "White" "Female" "April 2, 2004" "Gone to Hamster Heaven" "London,  United Kingdom" "sisterhammy, Twitch" "sisterhammy, Twitch" "Trill birdseed"
"73" "Twizzler" "July 5, 2004" "Hamster (Syrian)" "Golden Banded" "Male" "June 10, 2001" "Gone to Hamster Heaven" "Fredericksburg, VA&nbsp; United States" "Exercise Ball" "Exercise Ball" "Cherries"
"74" "Nieko" "February 26, 2005" "Hamster (Teddy Bear)" "Golden Banded" "Male" "July 9, 2004" "Gone to Hamster Heaven" "Hamster, MI&nbsp; United States" "Wheel" "Wheel" "Sunflower seeds, strawberry or vanilla yogurt treats, and lettuce"
"75" "Oreo" "February 26, 2005" "Hamster (Dwarf)" "Black Banded" "Female" "August 14, 2004" "Gone to Hamster Heaven" "Hamster, MI&nbsp; United States" "her coconut canaba" "her coconut canaba" "Lettuce"
"76" "Snowball" "February 26, 2005" "Hamster (Teddy Bear)" "Albino" "Female" "September 4, 2004" "Gone to Hamster Heaven" "Hamster, MI&nbsp; United States" "Wheel" "Wheel" "Sunflower seeds"
"77" "Pepper" "February 26, 2005" "Hamster (Syrian)" "Black" "Female" "October 18, 2004" "Gone to Hamster Heaven" "Hamster, MI&nbsp; United States" "Wheel" "Wheel" "Vanilla yogurt treats"
"78" "Freyo" "August 23, 2004" "Hamster (Teddy Bear)" "Cream" "Male" "June 19, 2004" "Gone to Hamster Heaven" "Marburg,  Germany" "he doesn't like toys that much" "he doesn't like toys that much" "yoghurt drops with honey"
"79" "Mandy" "August 31, 2004" "Hamster (Teddy Bear)" "Silver" "Female" "February 27, 2004" "Gone to Hamster Heaven" "Va Beach, VA&nbsp; United States" "Wheel" "Wheel" "Brocclii"
"80" "Tailz" "December 4, 2004" "Hamster (Dwarf)" "Ruddy" "Male" "January 5, 2002" "Gone to Hamster Heaven" "Baltimore, MD&nbsp; United States" "Runnin' wheel" "Runnin' wheel" "Cucumbers and salad snacks"
"81" "Honey Buns" "December 4, 2004" "Hamster (Teddy Bear)" "Nutmeg" "Female" "September 18, 2003" "Gone to Hamster Heaven" "Baltimore, MD&nbsp; United States" "SHAKE YOUR HONEY BUN!" "SHAKE YOUR HONEY BUN!" "Cracked corn from the Pathmark trash cart and also yogurt drops"
"82" "Flufferbee" "December 5, 2004" "Hamster (Dwarf)" "White" "Male" "January 18, 2002" "Gone to Hamster Heaven" "Baltimore, MD&nbsp; United States" "flintstones hideaway beach house" "flintstones hideaway beach house" "pizza crust"
"83" "Colonel Angus" "December 14, 2004" "Hamster (Teddy Bear)" "Honey" "Female" "March 17, 2004" "Gone to Hamster Heaven" "Baltimore, MD&nbsp; United States" "bathrobe strings" "bathrobe strings" "peanut butter"
"84" "Onyx" "April 11, 2004" "Hamster (Teddy Bear)" "Black" "Female" "January 15, 2003" "Gone to Hamster Heaven" "Malta,  United States" "sticks" "sticks" "yogurt chips, eggs &amp; nuts"
"85" "Lee~Lou" "April 19, 2004" "Hamster (Teddy Bear)" "Golden Banded" "Female" "January 27, 2004" "Gone to Hamster Heaven" "Windsor, CA&nbsp; United States" "I love my eggplant chew toy" "I love my eggplant chew toy" "I love my eggplant chew toy"
"86" "Princess" "April 30, 2004" "Hamster (Teddy Bear)" "Cream" "Female" "March 27, 2000" "Gone to Hamster Heaven" "Windsor, CA&nbsp; United States" "The cage bars" "The cage bars" "The cage bars"
"87" "twinkle toes" "April 11, 2004" "Hamster (Teddy Bear)" "Grey" "Female" "June 17, 2002" "Gone to Hamster Heaven" "Quincy, MA&nbsp; United States" "her wheel" "her wheel" "her wheel"
"88" "farley" "April 13, 2004" "Hamster (Teddy Bear)" "White" "Female" "May 2, 2000" "Gone to Hamster Heaven" "Quincy, MA&nbsp; United States" "probably her wheel" "probably her wheel" "ice cream, or cheese probably"
"89" "Barney" "April 14, 2004" "Hamster (Syrian)" "Golden Banded" "Male" "February 1, 2004" "Gone to Hamster Heaven" "Aracaju,  Brazil" "Aracaju,  Brazil" "Aracaju,  Brazil" "Aracaju,  Brazil"
"90" "Rupert" "April 17, 2004" "Hamster (Syrian)" "Golden" "Male" "January 21, 2004" "Gone to Hamster Heaven" "Near Toronto, ON&nbsp; Canada" "Any cardboard box." "Any cardboard box." "McDonalds French Fries."
"91" "YaYa" "June 27, 2004" "Hamster (Dwarf)" "Argente" "Male" "June 5, 2004" "Gone to Hamster Heaven" "SG,  Singapore" "Unknown Yet" "Unknown Yet" "Sunflower Seeds"
"92" "BoBo" "October 3, 2004" "Hamster (Russian)" "Cinnamon" "Female" "September 3, 2004" "Gone to Hamster Heaven" "SG,  Singapore" "Her House" "Her House" "Cheeeeeeeese"
"93" "Tonks" "April 15, 2004" "Hamster (Syrian)" "Golden" "Female" "June 20, 2003" "Gone to Hamster Heaven" "Windsor Mill, MD&nbsp; United States" "wooden hamster bunker" "wooden hamster bunker" "just about anything"
"94" "Dylan" "April 19, 2004" "Hamster (Syrian)" "Golden" "Female" "May 1, 2003" "Gone to Hamster Heaven" "Fort Myers, FL&nbsp; United States" "random toilet paper rolls" "random toilet paper rolls" "random toilet paper rolls"
"95" "Gaz" "April 16, 2004" "Hamster (Dwarf)" "Black" "Female" "December 1, 2003" "Gone to Hamster Heaven" "Marquette, MI&nbsp; United States" "the green tube, and my house." "the green tube, and my house." "the green tube, and my house."
"96" "Tak" "April 16, 2004" "Hamster (Dwarf)" "Platinum" "Female" "December 12, 2003" "Gone to Hamster Heaven" "Marquette, MI&nbsp; United States" "my comfort wheel!" "my comfort wheel!" "my comfort wheel!"
"97" "pokey" "April 15, 2004" "Hamster (Dwarf)" "Platinum" "Female" "November 10, 2003" "Gone to Hamster Heaven" "Tunkhannock, PA&nbsp; United States" "hamster kabob" "hamster kabob" "crispi waffles"
"98" "Hamstersaurus Rex" "January 16, 2005" "Hamster (Syrian)" "Black Banded" "Male" "November 19, 2004" "Gone to Hamster Heaven" "Philadelphia, PA&nbsp; United States" "anything not in his cage" "anything not in his cage" "milk and honey drops. hed only eat them if he could"
"99" "Hammy Bones" "December 14, 2005" "Hamster (Roborovskii)" "Golden" "Male" "January 11, 2004" "Gone to Hamster Heaven" "Sacramento, CA&nbsp; United States" "Green wheel" "Green wheel" "Sunflower seeds"
"100" "chunky" "December 15, 2004" "Hamster (Siberian)" "Cinnamon" "Male" "November 20, 2004" "Gone to Hamster Heaven" "Imus, Cavite,  Philippines" "wheel" "wheel" "sunflower seeds"
"101" "chinky" "December 15, 2004" "Hamster (Siberian)" "Nutmeg" "Female" "November 21, 2004" "Gone to Hamster Heaven" "Imus, Cavite,  Philippines" "chunky" "chunky" "chunky, ate honey's finger"
"102" "empoy" "December 15, 2004" "Hamster (Teddy Bear)" "Golden Banded" "Male" "April 4, 2004" "Gone to Hamster Heaven" "Imus, Cavite,  Philippines" "his yellow hamster mobile (ball)" "his yellow hamster mobile (ball)" "popcorn &amp; pistachios"
"103" "Oreo" "April 17, 2004" "Hamster (Syrian)" "Black" "Female" "August 15, 2000" "Gone to Hamster Heaven" "Beaver Falls, PA&nbsp; United States" "Her own cage" "Her own cage" "Her own cage"
"104" "Bunny-Rabbit" "October 27, 2004" "Hamster (Syrian)" "Black" "Female" "August 1, 2002" "Gone to Hamster Heaven" "Chatsworth, GA&nbsp; United States" "Carpet?" "Carpet?" "Doritoes"
"105" "Smidget" "October 27, 2004" "Hamster (Teddy Bear)" "Calico" "Female" "September 1, 2004" "Gone to Hamster Heaven" "Chatsworth, GA&nbsp; United States" "Chatsworth, GA&nbsp; United States" "Chatsworth, GA&nbsp; United States" "Fruit Loops"
"106" "Kissie-Face" "October 27, 2004" "Hamster (Syrian)" "Golden" "Female" "July 1, 2004" "Gone to Hamster Heaven" "Chatsworth, GA&nbsp; United States" "Cage? (She chews on it.)" "Cage? (She chews on it.)" "Anything cheesy or sweet."
"107" "Phooey" "October 27, 2004" "Hamster (Unknown)" "Cinnamon Banded" "Female" "September 30, 2004" "Gone to Hamster Heaven" "Chatsworth, GA&nbsp; United States" "Chatsworth, GA&nbsp; United States" "Chatsworth, GA&nbsp; United States" "Fruit Loops"
"108" "Teddy" "April 17, 2004" "Hamster (Syrian)" "Mottled" "Male" "March 9, 2000" "Gone to Hamster Heaven" "Beaver Falls, PA&nbsp; United States" "His house." "His house." "raisens"
"109" "Daniel" "November 15, 2004" "Hamster (Teddy Bear)" "Brown" "Male" "December 29, 2003" "Gone to Hamster Heaven" "Houston, TX&nbsp; United States" "Houston, TX&nbsp; United States" "Houston, TX&nbsp; United States" "baby carrots, Critical Care mix"
"110" "Boris" "December 22, 2004" "Hamster (Unknown)" "Agouti" "Male" "January 31, 2002" "Gone to Hamster Heaven" "Falls Church, VA&nbsp; United States" "Falls Church, VA&nbsp; United States" "Falls Church, VA&nbsp; United States" "Falls Church, VA&nbsp; United States"
"111" "Abigail" "November 3, 2004" "Hamster (Syrian)" "Albino" "Female" "September 1, 2003" "Gone to Hamster Heaven" "Falls Church, VA&nbsp; United States" "Falls Church, VA&nbsp; United States" "Falls Church, VA&nbsp; United States" "any and all treats"
"112" "Pascal" "November 3, 2004" "Hamster (Syrian)" "Cream" "Female" "February 1, 2004" "Gone to Hamster Heaven" "Falls Church, VA&nbsp; United States" "the tube sock that she sleeps in" "the tube sock that she sleeps in" "nuts, apples"
"113" "Jade" "November 3, 2004" "Hamster (Syrian)" "Black Banded" "Female" "March 1, 2004" "Gone to Hamster Heaven" "Falls Church, VA&nbsp; United States" "her running wheel, her ball" "her running wheel, her ball" "apples"
"114" "Junior" "August 26, 2004" "Hamster (Syrian)" "Beige" "Male" "May 1, 2004" "Gone to Hamster Heaven" "Falls Church, VA&nbsp; United States" "his wheel" "his wheel" "veggies"
"115" "Zeppo" "August 26, 2004" "Hamster (Syrian)" "Agouti" "Male" "January 31, 2002" "Gone to Hamster Heaven" "Falls Church, VA&nbsp; United States" "Falls Church, VA&nbsp; United States" "Falls Church, VA&nbsp; United States" "avocado"
"116" "Amelia" "August 26, 2004" "Hamster (Syrian)" "Golden" "Female" "January 31, 2002" "Gone to Hamster Heaven" "Falls Church, VA&nbsp; United States" "Falls Church, VA&nbsp; United States" "Falls Church, VA&nbsp; United States" "Falls Church, VA&nbsp; United States"
"117" "Madrigal" "August 26, 2004" "Hamster (Unknown)" "Cinnamon" "Female" "September 1, 2002" "Gone to Hamster Heaven" "Falls Church, VA&nbsp; United States" "Falls Church, VA&nbsp; United States" "Falls Church, VA&nbsp; United States" "Falls Church, VA&nbsp; United States"
"118" "Percy" "August 26, 2004" "Hamster (Syrian)" "Blonde" "Male" "September 1, 2002" "Gone to Hamster Heaven" "Falls Church, VA&nbsp; United States" "Falls Church, VA&nbsp; United States" "Falls Church, VA&nbsp; United States" "Falls Church, VA&nbsp; United States"
"119" "Harvey" "April 17, 2004" "Hamster (Teddy Bear)" "Black" "Male" "June 6, 2003" "Gone to Hamster Heaven" "Beaver Falls, PA&nbsp; United States" "his house" "his house" "strawberries"
"120" "Cheeky" "November 17, 2004" "Hamster (Syrian)" "Golden" "Female" "August 15, 2004" "Gone to Hamster Heaven" "Olympia, WA&nbsp; United States" "Wheel" "Wheel" "Carrots"
"121" "Luna" "January 15, 2005" "Hamster (Syrian)" "Golden Banded" "Female" "October 31, 2004" "Gone to Hamster Heaven" "Houston, TX&nbsp; United States" "Wheel!" "Wheel!" "Broccoli"
"122" "Dee-dee" "February 16, 2005" "Hamster (Mongolian)" "Cream" "Male" "November 9, 2003" "Gone to Hamster Heaven" "Jakarta,  Indonesia" "mainan puter-puter" "mainan puter-puter" "carrot"
